Taxa,/N/dc2/scratch/hleffler/kraken_report/SRR9649760_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649757_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649758_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649759_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649755_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649754_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649756_kraken_report
Georgenia,  0.00,   0.01,   0.00,   0.00,   0.01,   0.02,   0.01
Kytococcus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Luteipulveratus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Dermacoccus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Beutenbergia,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Miniimonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Austwickia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Dermatophilus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Ruania,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Sanguibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Jonesia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Tropheryma,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Mycobacterium,  0.04,   0.10,   0.04,   0.04,   0.07,   0.12,   0.05
Mycolicibacterium,  0.03,   0.07,   0.02,   0.02,   0.04,   0.08,   0.03
Mycobacteroides,  0.01,   0.01,   0.01,   0.01,   0.01,   0.02,   0.01
Mycolicibacter,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Hoyosella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rhodococcus,  0.04,   0.10,   0.04,   0.03,   0.06,   0.12,   0.05
Nocardia,  0.03,   0.08,   0.03,   0.02,   0.05,   0.09,   0.04
Corynebacterium,  0.05,   0.09,   0.05,   0.05,   0.07,   0.11,   0.06
Gordonia,  0.02,   0.04,   0.01,   0.01,   0.03,   0.05,   0.02
Dietzia,  0.01,   0.01,   0.01,   0.01,   0.01,   0.02,   0.01
Tsukamurella,  0.01,   0.01,   0.00,   0.00,   0.01,   0.02,   0.01
Tomitella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Lawsonella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Segniliparus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Micromonospora,  0.05,   0.12,   0.05,   0.05,   0.08,   0.14,   0.06
Actinoplanes,  0.02,   0.06,   0.02,   0.02,   0.04,   0.07,   0.03
Plantactinospora,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
Salinispora,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Verrucosispora,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Amycolatopsis,  0.02,   0.06,   0.02,   0.02,   0.04,   0.07,   0.03
Pseudonocardia,  0.02,   0.05,   0.01,   0.01,   0.03,   0.06,   0.02
Saccharomonospora,  0.01,   0.02,   0.01,   0.01,   0.02,   0.03,   0.01
Actinoalloteichus,  0.01,   0.02,   0.01,   0.01,   0.02,   0.02,   0.01
Actinosynnema,  0.01,   0.01,   0.01,   0.00,   0.01,   0.02,   0.01
Kibdelosporangium,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Saccharopolyspora,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Kutzneria,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Lentzea,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Saccharothrix,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Alloactinosynnema,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Allokutzneria,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Prauserella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Nocardioides,  0.03,   0.07,   0.02,   0.02,   0.05,   0.09,   0.03
Aeromicrobium,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
Friedmanniella,  0.01,   0.01,   0.00,   0.00,   0.01,   0.02,   0.01
Actinopolymorpha,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Pimelobacter,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Kribbella,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Marmoricola,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Micropruina,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Microlunatus,  0.01,   0.01,   0.01,   0.01,   0.01,   0.02,   0.01
Tessaracoccus,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
Acidipropionibacterium,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Propionibacterium,  0.01,   0.01,   0.00,   0.00,   0.01,   0.01,   0.01
Cutibacterium,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Auraticoccus,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Pseudopropionibacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Propionimicrobium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Streptosporangium,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
Nonomuraea,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
Nocardiopsis,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
Streptomonospora,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Thermobifida,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Actinomadura,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
Thermomonospora,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Actinomyces,  0.02,   0.05,   0.02,   0.02,   0.04,   0.05,   0.02
Flaviflexus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Schaalia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Trueperella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Mobiluncus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Actinobaculum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Actinotignum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Arcanobacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Frankia,  0.02,   0.05,   0.02,   0.01,   0.03,   0.06,   0.02
Jatrophihabitans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Bifidobacterium,  0.02,   0.03,   0.01,   0.01,   0.02,   0.03,   0.02
Parascardovia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Gardnerella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Scardovia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Jiangella,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
Geodermatophilus,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Modestobacter,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Blastococcus,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Nakamurella,  0.01,   0.01,   0.00,   0.00,   0.01,   0.01,   0.01
Stackebrandtia,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Salilacibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Catenulispora,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Candidatus Planktophila,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Nanopelagicus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Kineococcus,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Thermobispora,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Actinopolyspora,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acidothermus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Gordonibacter,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.01
Eggerthella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Slackia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Arabia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Adlercreutzia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Denitrobacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Cryptobacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Phoenicibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Olsenella,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.01
Libanicoccus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Parolsenella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Atopobium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Collinsella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Coriobacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rubrobacter,  0.01,   0.02,   0.01,   0.01,   0.02,   0.02,   0.02
Baekduia,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.01
Euzebya,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Egibacter,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Egicoccus,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Conexibacter,  0.00,   0.01,   0.00,   0.00,   0.01,   0.02,   0.01
Acidimicrobium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Bacillus,  0.11,   0.07,   0.11,   0.11,   0.09,   0.06,   0.10
Geobacillus,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Lysinibacillus,  0.01,   0.00,   0.01,   0.01,   0.01,   0.00,   0.01
Virgibacillus,  0.01,   0.00,   0.01,   0.01,   0.01,   0.00,   0.01
Oceanobacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Halobacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Anoxybacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Paraliobacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Lentibacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Parageobacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Fictibacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Aeribacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Salimicrobium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Terribacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Amphibacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Aquibacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Paenibacillus,  0.09,   0.09,   0.09,   0.09,   0.09,   0.09,   0.09
Brevibacillus,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Thermobacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Cohnella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Aneurinibacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Saccharibacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Staphylococcus,  0.02,   0.01,   0.02,   0.02,   0.02,   0.01,   0.02
Salinicoccus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Macrococcus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Jeotgalicoccus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Auricoccus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Planococcus,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Sporosarcina,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Solibacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Paenisporosarcina,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Jeotgalibacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rummeliibacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Kurthia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Ureibacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Tumebacillus,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Kyrpidia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Alicyclobacillus,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Exiguobacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Gemella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Listeria,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Brochothrix,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Laceyella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Novibacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Thermoactinomyces,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sporolactobacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Lactobacillus,  0.03,   0.03,   0.03,   0.03,   0.03,   0.03,   0.03
Pediococcus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Streptococcus,  0.03,   0.02,   0.03,   0.03,   0.03,   0.02,   0.03
Lactococcus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterococcus,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Vagococcus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Melissococcus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Tetragenococcus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Leuconostoc,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Weissella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Oenococcus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Carnobacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Jeotgalibaca,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Marinilactibacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Dolosigranulum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Aerococcus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Clostridium,  0.08,   0.04,   0.08,   0.09,   0.06,   0.04,   0.07
Alkaliphilus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Geosporobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Caloramator,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Hungatella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Arthromitus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Mordavella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Crassaminicella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Hathewaya,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Desulfotomaculum,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Desulfosporosinus,  0.01,   0.01,   0.01,   0.01,   0.01,   0.00,   0.01
Desulfallas,  0.01,   0.01,   0.01,   0.01,   0.01,   0.00,   0.01
Desulfitobacterium,  0.01,   0.01,   0.01,   0.01,   0.01,   0.00,   0.01
Candidatus Desulforudis,  0.00,   0.01,   0.00,   0.00,   0.01,   0.00,   0.01
Thermincola,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Desulfofarcimen,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Dehalobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Dehalobacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Syntrophobotulus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Blautia,  0.01,   0.01,   0.01,   0.01,   0.01,   0.00,   0.01
Lachnoclostridium,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Butyrivibrio,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Roseburia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Anaerostipes,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Cellulosilyticum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Herbinix,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Lachnoanaerobaculum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Anaerotignum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Anaerobutyricum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Ruminococcus,  0.01,   0.00,   0.01,   0.00,   0.00,   0.00,   0.00
Flavonifractor,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Faecalibacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Ruthenibacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Ethanoligenens,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Caproiciproducens,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acutalibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Thermaerobacter,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
Aminipila,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Mogibacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Carboxydocella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Hungateiclostridium,  0.01,   0.00,   0.01,   0.01,   0.00,   0.00,   0.00
Pseudoclostridium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Thermoclostridium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Ruminiclostridium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Mageeibacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Fastidiosipila,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Clostridioides,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Peptoclostridium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Paeniclostridium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acetoanaerobium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Filifactor,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Eubacterium,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Acetobacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Christensenella,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Symbiobacterium,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Monoglobus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Intestinimonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Oscillibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Dysosmobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Heliobacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Syntrophothermus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Syntrophomonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Petrocella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Thermoanaerobacter,  0.01,   0.00,   0.01,   0.01,   0.00,   0.00,   0.01
Moorella,  0.00,   0.00,   0.00,   0.00,   0.01,   0.01,   0.00
Ammonifex,  0.00,   0.00,   0.00,   0.00,   0.01,   0.00,   0.00
Thermanaeromonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Caldanaerobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Thermacetogenium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Carboxydothermus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Tepidanaerobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Caldicellulosiruptor,  0.01,   0.00,   0.01,   0.01,   0.01,   0.00,   0.01
Thermoanaerobacterium,  0.00,   0.00,   0.01,   0.00,   0.00,   0.00,   0.00
Thermosediminibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Thermodesulfobium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Mahella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Halocella,  0.01,   0.00,   0.01,   0.01,   0.00,   0.00,   0.01
Halanaerobium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Halothermothrix,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Halobacteroides,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acetohalobium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Anoxybacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Natranaerobius,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pelosinus,  0.00,   0.00,   0.00,   0.01,   0.00,   0.00,   0.00
Sporomusa,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Methylomusa,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Selenomonas,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Megamonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Megasphaera,  0.00,   0.00,   0.00,   0.00,   0.01,   0.01,   0.00
Veillonella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Dialister,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Negativicoccus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acidaminococcus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Phascolarctobacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Peptoniphilus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Anaerococcus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Finegoldia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Parvimonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Murdochiella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Soehngenia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sporanaerobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Gottschalkia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Ezakiella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Limnochorda,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Erysipelothrix,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Faecalibaculum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Turicibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Faecalitalea,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Longibaculum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Erysipelatoclostridium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Ndongobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Nostoc,  0.02,   0.01,   0.02,   0.03,   0.01,   0.01,   0.02
Anabaena,  0.02,   0.00,   0.02,   0.02,   0.00,   0.00,   0.01
Trichormus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Cylindrospermum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Calothrix,  0.02,   0.01,   0.02,   0.02,   0.01,   0.01,   0.02
Rivularia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Microchaete,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphaerospermopsis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Dolichospermum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Nodularia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Anabaenopsis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Raphidiopsis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Fischerella,  0.01,   0.00,   0.00,   0.01,   0.00,   0.00,   0.01
Scytonema,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Tolypothrix,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Aulosira,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Synechococcus,  0.02,   0.03,   0.02,   0.02,   0.03,   0.03,   0.03
Cyanobium,  0.01,   0.01,   0.00,   0.01,   0.01,   0.01,   0.01
Thermosynechococcus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Dactylococcopsis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Leptolyngbya,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Prochlorococcus,  0.01,   0.00,   0.01,   0.01,   0.00,   0.00,   0.00
Synechocystis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudanabaena,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Halomicronema,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Chamaesiphon,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acaryochloris,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Oscillatoria,  0.01,   0.00,   0.01,   0.01,   0.00,   0.00,   0.01
Moorea,  0.01,   0.01,   0.01,   0.00,   0.01,   0.00,   0.00
Microcoleus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Planktothrix,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
