Taxa,/N/dc2/scratch/hleffler/kraken_report/SRR9649760_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649757_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649758_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649759_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649755_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649754_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649756_kraken_report
Sphingomonas sp. HKS19,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingomonas sp. AE3,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingomonas sp. LK11,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingomonas sp. YZ-8,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingomonas wittichii,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Sphingomonas sanxanigenens,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Sphingomonas koreensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingomonas panacis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Sphingomonas melonis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingomonas taxi,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingomonas paucimobilis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingomonas indica,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingobium sp. SYK-6,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingobium sp. TKS,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingobium sp. EP60837,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingobium sp. YG1,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingobium sp. RAC03,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingobium sp. SCG-1,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingobium sp. MI1205,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingobium sp. PAMC28499,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingobium sp. YBL2,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingobium sp. LF-16,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingobium yanoikuyae,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingobium cloacae,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingobium baderi,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingobium amiense,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingobium hydrophobicum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingobium chlorophenolicum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingobium herbicidovorans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingobium fuliginis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingobium japonicum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingobium indicum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingopyxis macrogoltabida,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Sphingopyxis sp. EG6,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingopyxis fribergensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingopyxis sp. PAMC25046,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingopyxis sp. FD7,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingopyxis sp. QXT-31,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingopyxis lindanitolerans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingopyxis sp. 113P3,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingopyxis alaskensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingopyxis granuli,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingopyxis sp. LPB0140,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingopyxis sp. MG,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Novosphingobium resinovorum,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Novosphingobium aromaticivorans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Novosphingobium sp. P6W,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Novosphingobium ginsenosidimutans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Novosphingobium sp. ABRDHK2,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Novosphingobium sp. THN1,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Novosphingobium pentaromativorans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Novosphingobium tardaugens,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Novosphingobium sp. PP1Y,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingosinicella sp. BN140058,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Sphingosinicella microcystinivorans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingorhabdus sp. YGSMI21,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingorhabdus sp. M41,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingorhabdus sp. Alg231-15,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sphingorhabdus sp. SMR4y,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rhizorhabdus dicambivorans,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Blastomonas sp. RAC04,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Blastomonas fulva,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Citromicrobium sp. JL477,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Zymomonas mobilis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Altererythrobacter ishigakiensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Altererythrobacter sp. NS1,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Altererythrobacter sp. B11,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Altererythrobacter atlanticus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Altererythrobacter namhicola,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Altererythrobacter mangrovi,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Altererythrobacter dongtanensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Altererythrobacter marensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Altererythrobacter sp. TH136,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Altererythrobacter epoxidivorans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Altererythrobacter sp. ZODW24,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Erythrobacter litoralis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Erythrobacter sp. KY5,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Erythrobacter sp. HL-111,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Erythrobacter flavus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Erythrobacter sp. YH-07,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Erythrobacter gangjinensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Erythrobacter sp. HKB08,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Erythrobacter sp. Alg231-14,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Erythrobacter seohaensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Erythrobacter atlanticus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Porphyrobacter sp. CACIAM 03H1,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Porphyrobacter sp. YT40,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Porphyrobacter sp. HT-58-2,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Porphyrobacter neustonensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Porphyrobacter sp. LM 6,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Croceicoccus marinus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Croceicoccus naphthovorans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Qipengyuania sediminis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Azospirillum brasilense,  0.01,   0.03,   0.01,   0.01,   0.01,   0.04,   0.01
Azospirillum lipoferum,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Azospirillum sp. CFH 70021,  0.00,   0.01,   0.00,   0.00,   0.01,   0.02,   0.00
Azospirillum thiophilum,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Azospirillum sp. TSA2s,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Azospirillum sp. TSH100,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Azospirillum sp. M2T2B2,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Azospirillum sp. TSH58,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Azospirillum humicireducens,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Magnetospirillum gryphiswaldense,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Magnetospirillum magneticum,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Magnetospirillum sp. XM-1,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Magnetospirillum sp. ME-1,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Thalassospira indica,  0.00,   0.00,   0.00,   0.01,   0.00,   0.00,   0.00
Thalassospira xiamenensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Thalassospira marina,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rhodospirillum centenum,  0.00,   0.01,   0.00,   0.00,   0.00,   0.02,   0.00
Rhodospirillum rubrum,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Tistrella mobilis,  0.00,   0.01,   0.00,   0.00,   0.00,   0.02,   0.00
Nitrospirillum amazonense,  0.00,   0.01,   0.00,   0.00,   0.01,   0.02,   0.00
Indioceanicola profundi,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Magnetospira sp. QH-2,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Pararhodospirillum photometricum,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Niveispirillum cyanobacteriorum,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Ferrovibrio sp. K5,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Haematospirillum jordaniae,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Endolissoclinum faulkneri,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Stella vacuolata,  0.00,   0.02,   0.00,   0.00,   0.01,   0.03,   0.00
Stella humosa,  0.00,   0.02,   0.00,   0.00,   0.01,   0.02,   0.00
Stella sp. ATCC 35155,  0.00,   0.02,   0.00,   0.00,   0.01,   0.02,   0.00
Komagataeibacter hansenii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Komagataeibacter xylinus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Komagataeibacter europaeus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Komagataeibacter saccharivorans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Komagataeibacter medellinensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Komagataeibacter nataicola,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Komagataeibacter rhaeticus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acetobacter sp. KACC 21233,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acetobacter persici,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acetobacter ascendens,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acetobacter orientalis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acetobacter ghanensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acetobacter pasteurianus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acetobacter aceti,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acetobacter senegalensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acetobacter tropicalis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acetobacter oryzifermentans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acetobacter sp. B6,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acetobacter pomorum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acetobacter sp. JWB,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Roseomonas gilardii,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Roseomonas sp. FDAARGOS_362,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Gluconobacter oxydans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Gluconobacter albidus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Gluconobacter thailandicus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acidiphilium multivorum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acidiphilium cryptum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acidibrevibacterium fodinaquatile,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Neokomagataea sp. Ha5,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Neokomagataea tanensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Granulibacter bethesdensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Gluconacetobacter diazotrophicus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Kozakia baliensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Neoasaia chiangmaiensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Acetobacteraceae bacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Swingsia sp. F3b2,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Swingsia samuiensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Parasaccharibacter apium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Asaia bogorensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Commensalibacter sp. AMU001,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Brevundimonas naejangsanensis,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Brevundimonas sp. LM2,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Brevundimonas sp. DS20,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Brevundimonas subvibrioides,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Brevundimonas sp. MF30-B,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Brevundimonas sp. M20,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Brevundimonas diminuta,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Brevundimonas vesicularis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Brevundimonas sp. GW460-12-10-14-LB2,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Brevundimonas sp. SGAir0440,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Brevundimonas vancanneytii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Caulobacter sp. K31,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Caulobacter flavus,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Caulobacter mirabilis,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Caulobacter sp. FWC26,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Caulobacter vibrioides,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Caulobacter segnis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Caulobacter henricii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Phenylobacterium zucineum,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Phenylobacterium sp. HYN0004,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Asticcacaulis excentricus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Caulobacteraceae bacterium OTSz_A_272,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia felis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia amblyommatis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia asiatica,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia akari,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia australis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia parkeri,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia endosymbiont of Ixodes scapularis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia helvetica,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia montanensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia raoultii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia sibirica,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia rhipicephali,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia massiliae,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia monacensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia rickettsii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia peacockii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia japonica,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia philipii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia africae,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia conorii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia slovaca,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia heilongjiangensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia canadensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia bellii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia endosymbiont of Bemisia tabaci,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia prowazekii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsia typhi,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Orientia tsutsugamushi,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Sneabacter namystus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Phycorickettsia trachydisci,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Wolbachia endosymbiont of Folsomia candida,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Wolbachia endosymbiont of Cimex lectularius,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Wolbachia endosymbiont of Brugia malayi,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Wolbachia endosymbiont of Trichogramma pretiosum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Wolbachia endosymbiont of Culex quinquefasciatus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Wolbachia endosymbiont of Carposina sasakii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Wolbachia pipientis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Wolbachia endosymbiont of Chrysomya megacephala,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Wolbachia endosymbiont of Bemisia tabaci,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Wolbachia endosymbiont of Drosophila simulans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Wolbachia endosymbiont of Onchocerca ochengi,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Wolbachia endosymbiont of Onchocerca volvulus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Wolbachia endosymbiont of Drosophila incompta,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Wolbachia endosymbiont of Drosophila melanogaster,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Wolbachia endosymbiont of Drosophila ananassae,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Wolbachia endosymbiont of Drosophila mauritiana,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Wolbachia sp. wRi,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Ehrlichia ruminantium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Ehrlichia muris,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Ehrlichia chaffeensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Ehrlichia canis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Ehrlichia sp. HF,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Neorickettsia sennetsu,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Neorickettsia helminthoeca,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Neorickettsia risticii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Anaplasma phagocytophilum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Anaplasma marginale,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Anaplasma ovis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Anaplasma centrale,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsiales endosymbiont of Stachyamoeba lipophora,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsiales bacterium Ac37b,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Midichloria mitochondrii,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Fokinia solitaria,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Deianiraea vastatrix,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Phreatobacter stygius,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Phreatobacter cathodiphilus,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Phreatobacter sp. NMCR1094,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Polymorphum gilvum,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Micavibrio aeruginosavorus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Alphaproteobacteria bacterium WS11,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Puniceispirillum marinum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Pelagibacter sp. RS39,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Pelagibacter sp. RS40,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Pelagibacter sp. HIMB1321,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Pelagibacter ubique,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Pelagibacter sp. IMCC9063,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Pelagibacter sp. FZCC0015,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
alpha proteobacterium HIMB5,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
alpha proteobacterium HIMB59,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Fonsibacter ubiquis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Emcibacter congregatus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Emcibacter sp. MEBiC09520,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Cytomitobacter indipagum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Cytomitobacter primus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
endosymbiont of Acanthamoeba sp. UWC8,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Nesciobacter abundans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Nucleicultrix amoebiphila,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Paracaedibacter acanthamoebae,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Magnetococcus marinus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Parvularcula bermudensis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Desulfococcus oleovorans,  0.02,   0.02,   0.02,   0.02,   0.02,   0.01,   0.02
Desulfococcus multivorans,  0.02,   0.02,   0.02,   0.02,   0.02,   0.01,   0.01
Desulfobacter postgatei,  0.01,   0.01,   0.01,   0.01,   0.01,   0.00,   0.01
